columns,data_types,non_null_cell,missing cell
Year,int64,547271,0
Quarter,int64,547271,0
Month,int64,547271,0
DayofMonth,int64,547271,0
DayOfWeek,int64,547271,0
FlightDate,str,547271,0
Reporting_Airline,str,547271,0
DOT_ID_Reporting_Airline,int64,547271,0
IATA_CODE_Reporting_Airline,str,547271,0
Tail_Number,str,541978,5293
Flight_Number_Reporting_Airline,int64,547271,0
OriginAirportID,int64,547271,0
OriginAirportSeqID,int64,547271,0
OriginCityMarketID,int64,547271,0
Origin,str,547271,0
OriginCityName,str,547271,0
OriginState,str,547271,0
OriginStateFips,int64,547271,0
OriginStateName,str,547271,0
OriginWac,int64,547271,0
DestAirportID,int64,547271,0
DestAirportSeqID,int64,547271,0
DestCityMarketID,int64,547271,0
Dest,str,547271,0
DestCityName,str,547271,0
DestState,str,547271,0
DestStateFips,int64,547271,0
DestStateName,str,547271,0
DestWac,int64,547271,0
CRSDepTime,int64,547271,0
DepTime,float64,527487,19784
DepDelay,float64,527413,19858
DepDelayMinutes,float64,527413,19858
DepDel15,float64,527413,19858
DepartureDelayGroups,float64,527413,19858
DepTimeBlk,str,547271,0
TaxiOut,float64,527014,20257
WheelsOff,float64,527014,20257
WheelsOn,float64,526637,20634
TaxiIn,float64,526637,20634
CRSArrTime,int64,547271,0
ArrTime,float64,526638,20633
ArrDelay,float64,525370,21901
ArrDelayMinutes,float64,525370,21901
ArrDel15,float64,525370,21901
ArrivalDelayGroups,float64,525370,21901
ArrTimeBlk,str,547271,0
Cancelled,float64,547271,0
CancellationCode,str,20389,526882
Diverted,float64,547271,0
CRSElapsedTime,float64,547271,0
ActualElapsedTime,float64,525370,21901
AirTime,float64,525370,21901
Flights,float64,547271,0
Distance,float64,547271,0
DistanceGroup,int64,547271,0
CarrierDelay,float64,126410,420861
WeatherDelay,float64,126410,420861
NASDelay,float64,126410,420861
SecurityDelay,float64,126410,420861
LateAircraftDelay,float64,126410,420861
FirstDepTime,float64,4728,542543
TotalAddGTime,float64,4728,542543
LongestAddGTime,float64,4728,542543
DivAirportLandings,int64,547271,0
DivReachedDest,float64,1512,545759
DivActualElapsedTime,float64,1268,546003
DivArrDelay,float64,1268,546003
DivDistance,float64,1512,545759
Div1Airport,str,1644,545627
Div1AirportID,float64,1644,545627
Div1AirportSeqID,float64,1644,545627
Div1WheelsOn,float64,1644,545627
Div1TotalGTime,float64,1644,545627
Div1LongestGTime,float64,1644,545627
Div1WheelsOff,float64,1286,545985
Div1TailNum,str,1286,545985
Div2Airport,str,38,547233
Div2AirportID,float64,38,547233
Div2AirportSeqID,float64,38,547233
Div2WheelsOn,float64,38,547233
Div2TotalGTime,float64,38,547233
Div2LongestGTime,float64,38,547233
Div2WheelsOff,float64,21,547250
Div2TailNum,str,21,547250
Div3Airport,str,1,547270
Div3AirportID,float64,1,547270
Div3AirportSeqID,float64,1,547270
Div3WheelsOn,float64,1,547270
Div3TotalGTime,float64,1,547270
Div3LongestGTime,float64,1,547270
Div3WheelsOff,float64,1,547270
Div3TailNum,str,1,547270
Div4Airport,float64,0,547271
Div4AirportID,float64,0,547271
Div4AirportSeqID,float64,0,547271
Div4WheelsOn,float64,0,547271
Div4TotalGTime,float64,0,547271
Div4LongestGTime,float64,0,547271
Div4WheelsOff,float64,0,547271
Div4TailNum,float64,0,547271
Div5Airport,float64,0,547271
Div5AirportID,float64,0,547271
Div5AirportSeqID,float64,0,547271
Div5WheelsOn,float64,0,547271
Div5TotalGTime,float64,0,547271
Div5LongestGTime,float64,0,547271
Div5WheelsOff,float64,0,547271
Div5TailNum,float64,0,547271
Unnamed: 109,float64,0,547271
