Columns,Missing_Count,Missing_Percentage
Year,0,0.0
Quarter,0,0.0
Month,0,0.0
DayofMonth,0,0.0
DayOfWeek,0,0.0
FlightDate,0,0.0
Reporting_Airline,0,0.0
DOT_ID_Reporting_Airline,0,0.0
IATA_CODE_Reporting_Airline,0,0.0
Tail_Number,5293,1.0
Flight_Number_Reporting_Airline,0,0.0
OriginAirportID,0,0.0
OriginAirportSeqID,0,0.0
OriginCityMarketID,0,0.0
Origin,0,0.0
OriginCityName,0,0.0
OriginState,0,0.0
OriginStateFips,0,0.0
OriginStateName,0,0.0
OriginWac,0,0.0
DestAirportID,0,0.0
DestAirportSeqID,0,0.0
DestCityMarketID,0,0.0
Dest,0,0.0
DestCityName,0,0.0
DestState,0,0.0
DestStateFips,0,0.0
DestStateName,0,0.0
DestWac,0,0.0
CRSDepTime,0,0.0
DepTime,19784,4.0
DepDelay,19858,4.0
DepDelayMinutes,19858,4.0
DepDel15,19858,4.0
DepartureDelayGroups,19858,4.0
DepTimeBlk,0,0.0
TaxiOut,20257,4.0
WheelsOff,20257,4.0
WheelsOn,20634,4.0
TaxiIn,20634,4.0
CRSArrTime,0,0.0
ArrTime,20633,4.0
ArrDelay,21901,4.0
ArrDelayMinutes,21901,4.0
ArrDel15,21901,4.0
ArrivalDelayGroups,21901,4.0
ArrTimeBlk,0,0.0
Cancelled,0,0.0
CancellationCode,526882,96.0
Diverted,0,0.0
CRSElapsedTime,0,0.0
ActualElapsedTime,21901,4.0
AirTime,21901,4.0
Flights,0,0.0
Distance,0,0.0
DistanceGroup,0,0.0
CarrierDelay,420861,77.0
WeatherDelay,420861,77.0
NASDelay,420861,77.0
SecurityDelay,420861,77.0
LateAircraftDelay,420861,77.0
FirstDepTime,542543,99.0
TotalAddGTime,542543,99.0
LongestAddGTime,542543,99.0
DivAirportLandings,0,0.0
DivReachedDest,545759,100.0
DivActualElapsedTime,546003,100.0
DivArrDelay,546003,100.0
DivDistance,545759,100.0
Div1Airport,545627,100.0
Div1AirportID,545627,100.0
Div1AirportSeqID,545627,100.0
Div1WheelsOn,545627,100.0
Div1TotalGTime,545627,100.0
Div1LongestGTime,545627,100.0
Div1WheelsOff,545985,100.0
Div1TailNum,545985,100.0
Div2Airport,547233,100.0
Div2AirportID,547233,100.0
Div2AirportSeqID,547233,100.0
Div2WheelsOn,547233,100.0
Div2TotalGTime,547233,100.0
Div2LongestGTime,547233,100.0
Div2WheelsOff,547250,100.0
Div2TailNum,547250,100.0
Div3Airport,547270,100.0
Div3AirportID,547270,100.0
Div3AirportSeqID,547270,100.0
Div3WheelsOn,547270,100.0
Div3TotalGTime,547270,100.0
Div3LongestGTime,547270,100.0
Div3WheelsOff,547270,100.0
Div3TailNum,547270,100.0
Div4Airport,547271,100.0
Div4AirportID,547271,100.0
Div4AirportSeqID,547271,100.0
Div4WheelsOn,547271,100.0
Div4TotalGTime,547271,100.0
Div4LongestGTime,547271,100.0
Div4WheelsOff,547271,100.0
Div4TailNum,547271,100.0
Div5Airport,547271,100.0
Div5AirportID,547271,100.0
Div5AirportSeqID,547271,100.0
Div5WheelsOn,547271,100.0
Div5TotalGTime,547271,100.0
Div5LongestGTime,547271,100.0
Div5WheelsOff,547271,100.0
Div5TailNum,547271,100.0
Unnamed: 109,547271,100.0
